,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,39546.85625,21305.409375000003,35761.365625000006,234.81250000000003,1588.1125,2082.75,4545.96875,5492.593749999999,1789.8937500000002,5753.53125,76.25312500000001,582.865625,538.2531250000001,173.53437499999995,113.6625,219.75000000000003,169.11875,533.89375,578.6906250000001,197.01874999999998,983.91875,165.7625,167.64687499999997,780.7125000000001,136.80937500000002,123519.18437500001
East Valley,39251.41875,387.43437500000005,11876.493750000001,8055.193750000001,1404.7999999999995,1984.86875,1711.2156250000003,4044.265625,1790.9906250000001,3057.184374999999,26733.437500000007,461.390625,1346.4656250000003,3897.6968749999987,524.1250000000001,266.06562500000007,468.303125,1056.690625,1234.5812499999997,1426.3687500000003,521.7125,2312.7937499999994,281.21875,1125.7874999999997,1933.7312499999994,245.99374999999995,117400.22812499998
Glendale,21479.734375,11911.790625,208.81249999999997,4129.1625,2429.3218749999996,651.125,2212.646875,4396.834374999999,1212.0187500000002,1746.8374999999999,2615.728125,532.628125,719.9375,3092.349999999999,187.9125,181.6125,264.15937499999995,272.83437499999997,540.284375,696.5375,221.60625,950.203125,279.38750000000005,363.4375,682.3968750000003,119.14999999999998,62098.45
San Fernando,35564.19375,8621.962500000001,4337.356250000001,2200.1375000000003,688.0218749999999,10194.628125000003,2085.853125,7576.103125000002,2544.1437499999997,2539.046875000001,20487.362499999996,243.34999999999997,2231.4031250000003,2425.878125,407.83125000000007,285.07500000000005,557.859375,375.58124999999995,1706.6093749999995,1344.984375,617.23125,2585.9843749999995,411.9750000000001,341.48124999999993,1659.9218750000002,423.07812499999994,112457.053125
West Valley,454.425,1085.90625,3191.4718749999993,767.83125,131.05937500000002,1352.971875,1391.309375,2494.796875,1356.6093749999998,2698.0468749999995,9044.653125,473.90625,1146.4625000000003,512.0875000000001,1255.8562500000003,199.728125,552.2468749999999,388.403125,1106.8437500000002,2233.16875,254.99062500000002,2012.45,265.440625,251.09375000000003,1112.4531249999998,264.9906250000001,35999.20312500001
Alhambra,1586.096875,1633.4062500000002,740.15,9779.159375,1883.8374999999994,247.86874999999995,9616.334375000002,3380.134375,474.26249999999993,85144.66249999999,5521.9,1944.1468750000006,1105.8031250000001,5224.531249999999,262.79375,178.76250000000005,521.796875,777.415625,508.9312500000001,1139.859375,393.76875000000007,2014.98125,255.478125,570.6999999999999,955.103125,151.309375,136013.19375000003
El Monte,2089.7843749999993,2246.7656249999995,2710.665625,2539.6781250000004,1808.3906249999993,9755.165624999996,179.10625000000002,7424.768750000001,1116.959375,152913.31250000003,4327.084374999999,1346.4343749999998,2630.05625,12094.459374999999,345.21875000000006,313.09375000000006,475.26874999999995,1812.4625,857.4499999999999,58093.921875,228.59062500000005,4222.971874999999,409.73437499999994,977.1468749999997,1110.2593749999999,325.6093749999999,272354.35937499994
Foothill,4815.771874999999,4752.06875,3518.2312500000007,7389.103125000001,2537.96875,4025.159375,7180.4625,105238.553125,21805.993750000005,3231.296875,4078.453124999999,889.3406249999998,2168.9906250000004,5585.743750000001,381.146875,444.390625,927.4562499999997,1007.6499999999999,1196.2,1402.9937500000003,725.45,2900.2000000000007,546.8937500000001,1068.9406250000002,2102.515625,335.540625,190256.515625
Pasadena,5640.271875000001,1647.5937500000002,1167.078125,2551.178125000001,1422.403125,406.71874999999994,1118.1625,21962.937500000004,0.0,1164.725,1610.2593749999999,421.8187499999999,316.940625,891.4000000000001,98.36250000000003,88.95312500000001,206.375,187.27187500000005,279.50000000000006,327.9375,98.60000000000001,672.9875000000001,111.17499999999998,147.10937499999994,338.80312499999997,65.31562499999998,42943.878125
Pomona,1812.0093749999999,2683.728125,1852.6406249999998,2863.6656250000005,2767.975,85287.93437500001,153712.38437500002,2638.9968750000003,1084.534375,35011.62500000001,3055.228125000001,1374.2250000000001,2689.803125,21213.46875,365.65312500000005,308.65937500000007,866.590625,2014.6281250000002,634.6,67573.37812499999,483.21875,5378.36875,352.634375,844.165625,1058.1875000000002,318.88125,398247.18437499984
