,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,38422.01361058601,24232.717769376173,43468.21266540643,248.6308128544423,1472.7899810964086,2459.3761814744807,5935.755765595458,5059.140831758038,2193.189792060492,6259.136672967865,69.78525519848769,743.1325141776935,447.59886578449897,253.0189035916825,136.80869565217392,241.1308128544422,222.9359168241964,621.8820415879013,701.4877126654068,301.9729678638939,1491.3759924385631,178.63119092627593,123.55444234404543,1076.0657844990542,157.8633270321362,136518.2085066163
East Valley,38217.24688090733,414.07882797731577,13748.509073724013,3807.1886578449903,1172.7183364839325,1770.47258979206,2711.727599243858,5682.8311909262775,1900.128544423441,3825.5451795841186,23044.77485822307,328.5565217391307,1394.3822306238187,3930.9190926276015,692.7731568998112,263.30264650283556,497.3285444234405,943.1103969754256,1378.2533081285453,1550.8035916824206,627.6047258979204,2467.0122873345936,271.30396975425305,786.8911153119096,2240.41606805293,253.08317580340275,113920.96257088849
Glendale,24209.349149338366,14406.48865784499,195.4083175803403,3089.6597353497177,2139.0022684310024,539.0364839319476,1953.0302457466917,4982.33327032136,1585.395463137997,1768.0706994328937,2292.771266540643,506.9797731568998,663.2758034026466,2664.220037807184,235.92117202268426,211.3913043478261,326.48336483931945,314.15897920604914,462.64328922495287,658.9442344045368,244.97410207939512,930.6854442344045,268.64310018903575,330.7037807183366,828.8506616257093,135.4485822306239,65943.86918714562
San Fernando,43425.65198487715,4519.444234404539,3154.13213610586,1672.158223062383,787.7183364839315,6123.585255198491,2227.1625708884685,8699.2100189036,4028.0253308128567,3546.9913043478264,20424.704536862013,185.30453686200394,2397.142911153124,2035.7695652173902,507.55330812854453,302.1703213610586,536.899054820416,468.8489603024573,1628.225519848771,1515.7788279773154,636.9226843100192,2934.4258979206083,406.1302457466919,466.7771266540643,2012.6391304347806,454.65671077504715,115098.02873345942
West Valley,372.36124763705106,903.9330812854446,2696.0606805293037,653.1865784499059,108.79092627599246,1382.624763705104,1866.0572778827982,2963.9527410207947,1272.452741020794,3628.265973534973,9435.459924385632,338.55576559546296,1489.4035916824193,442.13705103969784,1221.2145557655952,314.6236294896031,699.2771266540642,296.28620037807156,1311.1767485822304,2548.233648393196,334.2843100189034,2557.7648393194713,289.0958412098301,168.509451795841,1304.935916824196,252.39962192816634,38851.04423440456
Alhambra,1469.2654064272201,1611.6338374291101,703.7355387523626,5869.115689981093,1982.1018903591673,247.9018903591682,13110.92684310018,3544.4786389413994,400.3833648393199,94177.58506616253,3853.5506616257085,2319.693761814748,742.7444234404535,7581.55689981097,334.3536862003781,225.83289224952725,486.1975425330818,950.068998109642,555.8151228733468,1014.7402646502828,341.64291115311863,1935.7536862003788,251.89943289224956,435.6268431001888,957.800189035917,139.61134215500942,145244.01682419656
El Monte,2430.1211720226834,2955.3026465028347,2091.66899810964,2355.164839319469,2344.8243856332692,13519.661058601137,144.48468809073702,9316.8763705104,1427.2228733459356,167040.75047258972,3715.7593572778837,1379.66370510397,2441.122873345936,13327.934971644623,352.3799621928169,324.69584120982984,549.5746691871453,1637.028355387523,967.9627599243865,50048.348204158785,211.389224952741,3699.756143667296,490.0933837429114,1032.2109640831766,917.3565217391308,285.0054820415881,285006.3599243856
Foothill,6008.646502835537,7068.162570888471,4906.715122873352,8789.676181474486,3711.303969754257,4539.185444234404,9433.486200378076,136750.48884688094,30602.01304347827,2728.29829867675,3965.1682419659737,887.0661625708882,2166.650094517959,5516.656710775052,358.83969754253303,560.6294896030241,910.4837429111537,999.8289224952741,1193.167674858223,1141.2364839319469,559.6691871455581,2695.4035916824178,521.0255198487716,1122.9981096408314,1955.1315689981082,363.4413988657847,239455.37277882802
Pasadena,5197.795274102076,1749.2162570888486,1563.9843100189037,3865.474291115311,1392.0338374291114,417.327032136106,1507.269187145559,30617.83478260871,0.0,1403.4472589792053,1438.6705103969746,337.0655954631381,354.6654064272213,1085.5020793950855,112.0716446124763,88.92514177693774,258.1669187145558,188.99754253308137,396.97693761814753,332.39489603024543,105.91115311909262,614.2240075614369,104.22098298676755,146.28449905482043,415.29773156899824,78.50245746691874,53772.25973534972
Pomona,2217.985444234405,3629.0472589792075,1805.7538752362937,3539.085822306239,3532.9160680529303,94000.07391304351,167531.26635160676,2420.112098298678,1309.3801512287341,43799.88279773161,3576.6873345935737,2142.9340264650295,2795.3275992438566,23382.758601134192,416.6421550094518,302.91001890359155,830.5803402646496,1692.1217391304353,692.1548204158793,67631.65274102076,382.8901701323252,8836.904347826083,379.99584120982973,810.3954631379959,1239.1914933837425,337.9599243856339,439236.6103969755
